4K频道,#genre#
cgtnfr-高码,http://lu.wqwqwq.sbs/gaoma/cgtnfr.m3u8
cgtnru-高码,http://lu.wqwqwq.sbs/gaoma/cgtnru.m3u8
cgtnsp-高码,http://lu.wqwqwq.sbs/gaoma/cgtnsp.m3u8

卫视,#genre#

凤凰卫视中文,http://lu.wqwqwq.sbs/rptv/HD-10000k-1080P-fhchinese5s.m3u8?license=cntv
凤凰卫视资讯,http://lu.wqwqwq.sbs/rptv/HD-10000k-1080P-fhzixun5s.m3u8?license=cntv
东南卫视,http://lu.wqwqwq.sbs/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265033.m3u8?cdn=ystenlive
广西卫视,http://lu.wqwqwq.sbs/itv/5000000011000031118.m3u8?cdn=bestzb
深圳卫视,http://lu.wqwqwq.sbs/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视-50-FPS,http://lu.wqwqwq.sbs/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://lu.wqwqwq.sbs/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视-50-FPS,http://lu.wqwqwq.sbs/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265026.m3u8?cdn=ystenlive

香港,#genre#

凤凰卫视香港,http://lu.wqwqwq.sbs/rptv/HD-10000k-1080P-fhhongkong5s.m3u8?license=cntv

其他,#genre#

重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
中国教育电视台-1,http://lu.wqwqwq.sbs/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育电视台-4,http://lu.wqwqwq.sbs/itv/5000000011000031126.m3u8?cdn=bestzb
高清臻享睛彩竞技,http://lu.wqwqwq.sbs/rptv/miguaoyun1-AVS.m3u8?license=gitv
睛彩青少-AVS,http://lu.wqwqwq.sbs/rptv/G_MIGUJCQS.m3u8?license=gitv
咪咕全民热练,http://lu.wqwqwq.sbs/itv/3000000020000031315.m3u8?cdn=FifastbLive
求索动物,http://lu.wqwqwq.sbs/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://lu.wqwqwq.sbs/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://lu.wqwqwq.sbs/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://lu.wqwqwq.sbs/itv/6000000002000003382.m3u8?cdn=wasusyt
SiTV-动漫秀场,http://lu.wqwqwq.sbs/itv/5000000011000031113.m3u8?cdn=bestzb
SiTV-都市剧场,http://lu.wqwqwq.sbs/itv/5000000011000031111.m3u8?cdn=bestzb
SiTV-法治天地,http://lu.wqwqwq.sbs/itv/9001547084732463424.m3u8?cdn=bestzb
SiTV-欢笑剧场,http://lu.wqwqwq.sbs/itv/5000000002000009455.m3u8?cdn=bestzb
SiTV-金色学堂,http://lu.wqwqwq.sbs/itv/5000000010000026105.m3u8?cdn=bestzb
SiTV-劲爆体育,http://lu.wqwqwq.sbs/itv/5000000002000029972.m3u8?cdn=bestzb
SiTV-乐游,http://lu.wqwqwq.sbs/itv/5000000011000031112.m3u8?cdn=bestzb
SiTV-魅力足球,http://lu.wqwqwq.sbs/itv/5000000011000031207.m3u8?cdn=bestzb
SiTV-七彩戏剧,http://lu.wqwqwq.sbs/itv/5000000011000031116.m3u8?cdn=bestzb
SiTV-生活时尚,http://lu.wqwqwq.sbs/itv/5000000002000019634.m3u8?cdn=bestzb
SiTV-游戏风云,http://lu.wqwqwq.sbs/itv/5000000011000031114.m3u8?cdn=bestzb

8K频道,#genre#

北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
cctv8k_36m,http://lu.wqwqwq.sbs/gaoma/cctv8k_36m.m3u8
cctv8k_120m,http://lu.wqwqwq.sbs/gaoma/cctv8k_120m.m3u8

北京,#genre#

北京卫视,http://lu.wqwqwq.sbs/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265027.m3u8?cdn=ystenlive
北京纪实科教,http://lu.wqwqwq.sbs/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://lu.wqwqwq.sbs/itv/5000000011000265008.m3u8?cdn=bestzb

安徽,#genre#

安徽卫视,http://lu.wqwqwq.sbs/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视-50-FPS,http://lu.wqwqwq.sbs/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265025.m3u8?cdn=ystenlive

甘肃,#genre#

甘肃卫视,http://lu.wqwqwq.sbs/itv/5000000011000031121.m3u8?cdn=bestzb

广东,#genre#

广东卫视,http://lu.wqwqwq.sbs/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视-50-FPS,http://lu.wqwqwq.sbs/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265034.m3u8?cdn=ystenlive

贵州,#genre#

贵州卫视,http://lu.wqwqwq.sbs/itv/5000000004000025843.m3u8?cdn=bestzb

海南,#genre#

海南卫视,http://lu.wqwqwq.sbs/itv/5000000004000006211.m3u8?cdn=bestzb

河北,#genre#

河北卫视,http://lu.wqwqwq.sbs/itv/5000000006000040016.m3u8?cdn=bestzb

河南,#genre#

河南卫视,http://lu.wqwqwq.sbs/itv/5000000011000031119.m3u8?cdn=bestzb

黑龙江,#genre#

黑龙江卫视,http://lu.wqwqwq.sbs/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视-50-FPS,http://lu.wqwqwq.sbs/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265029.m3u8?cdn=ystenlive

湖北,#genre#

湖北卫视,http://lu.wqwqwq.sbs/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视-50-FPS,http://lu.wqwqwq.sbs/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265023.m3u8?cdn=ystenlive

湖南,#genre#

湖南卫视,http://lu.wqwqwq.sbs/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视-50-FPS,http://lu.wqwqwq.sbs/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南金鹰纪实,http://lu.wqwqwq.sbs/itv/5000000011000031203.m3u8?cdn=bestzb
湖南快乐垂钓,http://lu.wqwqwq.sbs/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://lu.wqwqwq.sbs/itv/5000000011000031209.m3u8?cdn=bestzb

吉林,#genre#

吉林卫视,http://lu.wqwqwq.sbs/itv/5000000011000031117.m3u8?cdn=bestzb

江苏,#genre#

江苏卫视-50-FPS,http://lu.wqwqwq.sbs/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://lu.wqwqwq.sbs/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265030.m3u8?cdn=ystenlive

江西,#genre#

江西卫视,http://lu.wqwqwq.sbs/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265032.m3u8?cdn=ystenlive

辽宁,#genre#

辽宁卫视,http://lu.wqwqwq.sbs/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265022.m3u8?cdn=ystenlive

青海,#genre#

青海卫视,http://lu.wqwqwq.sbs/itv/1000000002000013359.m3u8?cdn=ystenlive

山东,#genre#

山东卫视,http://lu.wqwqwq.sbs/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视-50-FPS,http://lu.wqwqwq.sbs/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265019.m3u8?cdn=ystenlive

上海,#genre#

上海东方卫视,http://lu.wqwqwq.sbs/itv/6000000001000003639.m3u8?cdn=wasusyt
上海东方卫视-50-FPS,http://lu.wqwqwq.sbs/itv/5000000004000014098.m3u8?cdn=bestzb
上海东方卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265018.m3u8?cdn=ystenlive
上海-ICS-外语,http://lu.wqwqwq.sbs/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://lu.wqwqwq.sbs/itv/5000000010000027146.m3u8?cdn=bestzb
上海东方财经,http://lu.wqwqwq.sbs/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://lu.wqwqwq.sbs/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://lu.wqwqwq.sbs/itv/5000000010000018926.m3u8?cdn=bestzb
上海法治天地,http://lu.wqwqwq.sbs/itv/2000000002000000014.m3u8?cdn=hnbblive
上海哈哈炫动,http://lu.wqwqwq.sbs/itv/5000000011000031123.m3u8?cdn=bestzb
上海纪实人文-50-FPS,http://lu.wqwqwq.sbs/itv/5000000004000010282.m3u8?cdn=bestzb
上海纪实人文-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265021.m3u8?cdn=ystenlive
上海五星体育,http://lu.wqwqwq.sbs/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://lu.wqwqwq.sbs/itv/5000000011000031110.m3u8?cdn=bestzb

四川,#genre#

四川卫视,http://lu.wqwqwq.sbs/itv/5000000004000006119.m3u8?cdn=bestzb

云南,#genre#

云南卫视,http://lu.wqwqwq.sbs/itv/5000000011000031120.m3u8?cdn=bestzb

浙江,#genre#

浙江卫视-50-FPS,http://lu.wqwqwq.sbs/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://lu.wqwqwq.sbs/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265031.m3u8?cdn=ystenlive

重庆,#genre#

重庆卫视,http://lu.wqwqwq.sbs/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视-HEVC,http://lu.wqwqwq.sbs/itv/1000000005000265017.m3u8?cdn=ystenlive

NEWTV,#genre#

NewTV-精品综合,http://lu.wqwqwq.sbs/itv/1000000004000019008.m3u8?cdn=ystenlive
NewTV-精品大剧,http://lu.wqwqwq.sbs/itv/1000000004000013968.m3u8?cdn=ystenlive
NewTV-精品纪录,http://lu.wqwqwq.sbs/itv/1000000004000013730.m3u8?cdn=ystenlive
NewTV-精品体育,http://lu.wqwqwq.sbs/itv/1000000004000014634.m3u8?cdn=ystenlive
NewTV-精品萌宠,http://lu.wqwqwq.sbs/itv/1000000006000032328.m3u8?cdn=ystenlive
NewTV-爱情喜剧,http://lu.wqwqwq.sbs/itv/2000000003000000010.m3u8?cdn=hnbblive
NewTV-超级电视剧,http://lu.wqwqwq.sbs/itv/1000000006000268003.m3u8?cdn=ystenlive
NewTV-超级电影,http://lu.wqwqwq.sbs/itv/1000000003000012426.m3u8?cdn=ystenlive
NewTV-超级体育,http://lu.wqwqwq.sbs/itv/1000000001000009601.m3u8?cdn=ystenlive
NewTV-超级综艺,http://lu.wqwqwq.sbs/itv/1000000006000268002.m3u8?cdn=ystenlive
NewTV-潮妈辣婆,http://lu.wqwqwq.sbs/itv/2000000003000000018.m3u8?cdn=hnbblive
